id,title,year,#votes,1,2,3,4,5,6,7,8,9,10
tt1950186,Ford v Ferrari,2019,300063,958,483,591,1119,3549,12396,49264,109697,77211,44795
tt0087928,Police Academy,1984,115143,1104,1226,2069,4276,10711,26055,36299,18847,6117,8439
tt3315342,Logan,2017,654462,4515,2185,3203,6007,13815,39178,107760,185898,157361,134540
tt0356150,EuroTrip,2004,196611,3376,2822,4703,8998,19370,38572,52225,32467,14450,19628
tt1843866,Captain America: The Winter Soldier,2014,742654,6688,2533,3560,7405,19739,60422,167331,230185,134310,110481
tt10059518,Unhinged,2020,37244,1523,937,1439,2475,5171,9879,8936,3933,1224,1727
tt0093779,The Princess Bride,1987,395940,4880,1863,2891,4624,10296,24817,62065,99596,82750,102158
tt0108052,Schindler's List,1993,1222111,19379,4309,4592,6266,12964,27317,82780,221902,385989,456613
tt5027774,"Three Billboards Outside Ebbing, Missouri",2017,439544,2760,1469,2036,3263,7143,21096,71159,149821,121663,59134
tt0076759,Star Wars,1977,1239291,16873,4082,5087,8030,18826,44858,134713,283804,330675,392343
tt1201607,Harry Potter and the Deathly Hallows: Part 2,2011,770931,10248,3119,4207,7174,17517,45267,124675,213687,160276,184761
tt7984734,The Lighthouse,2019,147614,3126,1889,2621,3928,7484,15329,30459,39712,24972,18094
tt0110413,Léon,1994,1043745,5567,1935,2638,5181,11862,33165,116649,277607,324902,264239
tt0139654,Training Day,2001,394340,2033,1120,1790,3560,9806,30928,96513,140851,65733,42006
tt2975590,Batman v Superman: Dawn of Justice,2016,630100,23438,12893,21570,35928,65128,109536,131893,93701,48150,87863
tt1302006,The Irishman,2019,330429,3486,1797,2740,4548,10373,26647,65848,100847,67431,46712
tt3890160,Baby Driver,2017,444705,3684,2167,3496,6238,15860,44599,110957,141012,72815,43877
tt5580390,The Shape of Water,2017,375499,8445,4157,6098,9818,21046,48697,99763,100779,47965,28731
tt2582802,Whiplash,2014,725761,4011,1926,2674,4872,9573,25578,85596,200265,233412,157854
tt4972582,Split,2016,430801,3620,1981,3357,6734,17577,52897,129918,128342,51845,34530
tt1396484,It,2017,463329,8048,4292,6407,10935,24299,56255,117443,124537,61240,49873
tt0081505,The Shining,1980,905945,6676,3426,4998,8479,17799,42939,120190,244956,252023,204459
tt10451914,Outside the Wire,2021,31462,1509,1033,1904,3787,7276,8020,4439,1679,580,1235
tt1345836,The Dark Knight Rises,2012,1526369,13511,5058,7038,12152,25434,65039,178442,371514,417032,431149
tt5362988,Wind River,2017,209538,736,419,674,1397,4258,15243,54056,80256,34294,18205
tt0119116,The Fifth Element,1997,436522,3626,2609,4113,7513,17827,41356,96823,128712,69692,64251
tt6966692,Green Book,2018,388725,1963,688,940,1905,4937,14804,54294,129393,111712,68089
tt0377092,Mean Girls,2004,337930,3384,2430,4167,9031,22086,54450,94791,67256,31684,48651
tt0092099,Top Gun,1986,298009,3705,2730,4431,8965,21265,53327,89447,60336,24851,28952
tt2345759,The Mummy,2017,174314,7005,6296,11104,19371,36913,44459,28125,10679,3669,6693
tt0090605,Aliens,1986,656630,4358,1996,2809,5322,12126,31080,92482,183652,171000,151805
tt0112573,Braveheart,1995,964667,8923,4088,5657,9310,19622,46478,129008,251012,247816,242753
tt0372784,Batman Begins,2005,1316860,9837,3225,4321,8130,19182,55808,199391,432744,340659,243563
tt0113277,Heat,1995,582321,3443,1457,2187,4162,10437,29152,90051,178049,147144,116239
tt0382932,Ratatouille,2007,646716,5579,1873,2698,5137,13587,41622,121745,210751,133136,110588
tt1677720,Ready Player One,2018,373558,3500,2308,3984,7329,16038,40510,90385,107850,55502,46152
tt5606664,Doctor Sleep,2019,147329,1810,1121,1796,3151,6956,17199,39279,44100,18659,13258
tt3741700,Godzilla: King of the Monsters,2019,140359,4044,3333,5967,10392,20241,32713,30177,16630,6500,10362
tt2222042,Love and Monsters,2020,34131,362,186,296,615,1780,5475,11311,7746,2769,3591
tt5095030,Ant-Man and the Wasp,2018,315580,2597,1441,2811,6041,16930,51613,114480,76624,22879,20164
tt3778644,Solo: A Star Wars Story,2018,296268,7135,2619,3952,8043,20218,51476,96782,65105,21701,19237
tt0942385,Tropic Thunder,2008,379988,6156,4253,6794,12011,25988,56679,107348,87815,38736,34208
tt5726616,Call Me by Your Name,2017,217234,5588,1653,2205,3417,6873,15240,33730,52239,45116,51173
tt0120915,Star Wars: Episode I - The Phantom Menace,1999,736294,21252,15541,24813,40763,78394,150903,189448,108440,44398,62342
tt0446029,Scott Pilgrim vs. the World,2010,382381,7073,3754,5117,8482,16834,36569,79803,103884,62216,58649
tt0120201,Starship Troopers,1997,270810,4497,3102,4416,7444,15260,34669,72752,69033,31036,28601
tt6772802,Hillbilly Elegy,2020,26000,464,320,507,963,1804,4136,7201,5585,2233,2787
tt3099498,Tusk,2014,47119,4231,2503,3260,4738,7543,9463,7651,3967,1344,2419
tt0077631,Grease,1978,243912,3362,2112,3370,6254,13723,31878,66349,55001,26641,35222
tt1190080,2012,2009,355252,14936,11643,18563,31635,60148,82833,67608,35080,14023,18783
tt0120616,The Mummy,1999,392702,3284,3242,5468,10781,26348,64647,127035,84954,32591,34352
tt0118971,The Devil's Advocate,1997,334414,1892,1344,2240,4727,11874,34667,89678,105463,48455,34074
tt0295700,Wrong Turn,2003,110409,2496,2298,4199,7549,15938,28912,24034,12193,4588,8202
tt2771200,Beauty and the Beast,2017,276871,5412,2382,3754,6901,16076,39144,72582,61398,30213,39009
tt1877832,X-Men: Days of Future Past,2014,663640,3791,1517,2308,4652,12770,41266,129855,223116,143010,101355
tt7975244,Jumanji: The Next Level,2019,192372,1998,1404,2359,5166,14885,41216,62036,33104,14788,15416
tt5727208,Uncut Gems,2019,226080,5538,3050,3962,5897,11217,23861,52666,67551,35253,17085
tt0116282,Fargo,1996,621924,6107,2533,3608,5997,13057,35547,104140,197378,153220,100337
tt0147800,10 Things I Hate About You,1999,300447,1736,1491,2577,5521,15087,40975,84718,70291,34747,43304
